OBJECTID,Identificador del parque,Estrato,UPZ,Localidad,Estado Certificación,Clasificación del Parque,Nombre del Parque,Administración del Parque,Código Localidad,Código POT,coord_x,coord_y
2058,13-119,4,109,Teusaquillo,CERTIFICADO,Vecinal,"URBANIZACIÓN CIUDAD SALITRE CUARTA ETAPA DE DESARROLLO SECTOR II SM II (1, 2, 4, 5, 7, 8)",,13,,"-74,10643043426921","4,6467414502034465"
2060,14-073,3,102,Martires,CERTIFICADO,Vecinal,URBANIZACIÓN LA 14,,14,,"-74,08742193643185","4,618008496256536"
2064,13-008,4,107,Teusaquillo,CERTIFICADO,Vecinal,EL RECUERDO 1,,13,,"-74,0857056790304","4,631795735527635"
2068,13-088,4,104,Teusaquillo,CERTIFICADO,Metropolitano Existente,SIMÓN BOLÍVAR ( SECTOR VIRGILIO BARCO),IDRD,13,PM1,"-74,08858674637732","4,656152286860509"
2069,13-089,4,104,Teusaquillo,CERTIFICADO,Metropolitano Existente,SIMÓN BOLÍVAR ( SECTOR CENTRAL ),IDRD,13,PM1,"-74,09459169120086","4,658944486618069"
2072,13-067,4,106,Teusaquillo,CERTIFICADO,Vecinal,PABLO VI SEGUNDO SECTOR III ETAPA,,13,,"-74,08827763923216","4,650891665869008"
2075,13-084,4,106,Teusaquillo,CERTIFICADO,Bolsillo,URBANIZACIÓN LA ESMERALDA (ANTES LOS URAPANES),JAC LA ESMERALDA,13,,"-74,0893874619516","4,648708384155391"
2080,11-1061,5,20,Suba,CERTIFICADO,Bolsillo,LA ALHAMBRA SECTOR SUR,,11,,"-74,05675188102941","4,698729417442057"
2082,13-100,4,106,Teusaquillo,CERTIFICADO,Bolsillo,URBANIZACIÓN LA ESMERALDA (ANTES LOS URAPANES),JAC LA ESMERALDA,13,,"-74,09423873728669","4,650516296577409"
2085,11-1084,2,27,Suba,CERTIFICADO,Bolsillo,BELLA TUNA BAJA,,11,,"-74,08550406743623","4,757183094395307"
2089,13-107,4,109,Teusaquillo,CERTIFICADO,Vecinal,"URBANIZACIÓN CIUDAD SALITRE CUARTA ETAPA DE DESARROLLO SECTOR II SM II (1, 2, 4, 5, 7, 8)",,13,,"-74,10443401344105","4,644750678858901"
2096,12-095,4,22,Barrios Unidos,CERTIFICADO,Bolsillo,URBANIZACIÓN LA VIRGINIA,,12,,"-74,08611034087065","4,67652054784563"
2102,12-018,4,21,Barrios Unidos,CERTIFICADO,Vecinal,URBANIZACIÓN LOS ANDES II Y III SECTOR,,12,,"-74,0694163078962","4,685643645484671"
2109,12-035,4,22,Barrios Unidos,CERTIFICADO,Vecinal,URBANIZACIÓN METRÓPOLIS,,12,,"-74,08170283014181","4,68025827685142"
