OBJECTID,Identificador del parque,Estrato,UPZ,Localidad,Estado Certificación,Clasificación del Parque,Nombre del Parque,Administración del Parque,Código Localidad,Código POT,coord_x,coord_y
744,05-375,2,61,Usme,CERTIFICADO,Bolsillo,DESARROLLO EL BOSQUE KM 11,,5,,"-74,08031665509824","4,4735338337134065"
750,08-646,2,46,Kennedy,CERTIFICADO,Bolsillo,VILLA CASTILLA,,8,,"-74,14844949056086","4,639250993398191"
752,19-587,1,70,Ciudad Bolivar,CERTIFICADO,Bolsillo,URBANIZACIÓN ARBORIZADORA ALTA,,19,,"-74,16405005599306","4,5627536092595875"
757,11-683,4,27,Suba,CERTIFICADO,Vecinal,"URBANIZACIÓN VALLE DE REFOUS SECTORES 1,2,3,4,5",,11,,"-74,09056229305321","4,7464960741435025"
769,11-795,6,24,Suba,CERTIFICADO,Bolsillo,URBANIZACIÓN ANCADAM,,11,,"-74,07653204337393","4,724713510905973"
773,08-333,3,45,Kennedy,CERTIFICADO,Vecinal,CONJUNTO RESIDENCIAL LOS CRISTALES,,8,,"-74,14826371401936","4,611387678612113"
775,08-477,3,46,Kennedy,CERTIFICADO,Vecinal,VILLA ALSACIA,,8,,"-74,13799266003008","4,643205808596469"
781,04-014,3,33,San Cristobal,CERTIFICADO,Vecinal,URBANIZACIÓN EL TEÑIDERO,,4,,"-74,08603453204381","4,581841709551609"
789,11-098,4,24,Suba,CERTIFICADO,Vecinal,LAS VILLAS PRIMER SECTOR,,11,,"-74,07207919197776","4,716731275180184"
795,11-201,3,28,Suba,CERTIFICADO,Vecinal,URBANIZACIÓN POTRERILLOS DE SUBA,,11,,"-74,09555163765086","4,737329589278612"
801,01-208,4,13,Usaquén,SIN CERTIFICAR,Vecinal,CEDRO GOLF CLUB II ETAPA URBANIZACIÓN,,1,,"-74,03046057993612","4,729280695382942"
804,11-241,3,19,Suba,CERTIFICADO,Vecinal,TIERRA LINDA,,11,,"-74,05734778026977","4,711951272761761"
807,11-285,4,24,Suba,INVESTIGADO NO CERTIFICADO,Vecinal,URB. CAMPANIA,,11,,"-74,07155087838612","4,714070924059053"
817,11-570,5,24,Suba,CERTIFICADO,Vecinal,URBANIZACIÓN AGRUPACIÓN DE VIVIENDA EL POBLAR,,11,,"-74,06769616528116","4,725185582305468"
820,11-607,2,71,Suba,CERTIFICADO,Vecinal,"DESARROLLO BILBAO II SECTOR SECCIONES A, B, C, D, E",,11,,"-74,12299545030422","4,752314870644661"
827,01-291,4,13,Usaquén,CERTIFICADO,Vecinal,URBANIZACIÓN SAN PABLO,,1,,"-74,03530107908105","4,730491695727223"
833,04-391,1,32,San Cristobal,CERTIFICADO,Bolsillo,SAN JERÓNIMO DE YUSTE SECTOR A,,4,,"-74,06971443313702","4,565606728001928"
840,10-734,3,73,Engativa,CERTIFICADO,Vecinal,URBANIZACIÓN PORTAL DE ALCALÁ,,10,,"-74,12919740555105","4,712277171784922"
855,13-034,4,101,Teusaquillo,CERTIFICADO,Vecinal,URBANIZACIÓN LA MAGDALENA,,13,,"-74,07177342926042","4,626971043584174"
867,05-194,1,52,Usme,CERTIFICADO,Vecinal,DESARROLLO LA FLORA,,5,,"-74,09453270422605","4,514017312332047"
883,08-589,2,82,Kennedy,CERTIFICADO,Vecinal,DINDALITO,,8,,"-74,17542559221747","4,64144892482401"
884,16-387,3,40,Puente Aranda,CERTIFICADO,Vecinal,URBANIZACIÓN TORREMOLINOS I ETAPA,,16,,"-74,12364031176998","4,611115397874395"
886,10-731,2,26,Engativa,CERTIFICADO,Vecinal,URBANIZACIÓN BODEGONES DE LA 68,,10,,"-74,07822857601755","4,685233241921297"
889,19-302,2,70,Ciudad Bolivar,CERTIFICADO,Vecinal,URBANIZACIÓN CANDELARIA LA NUEVA II SECTOR 1A ETAPA,,19,,"-74,15731618850356","4,579266120472637"
891,19-314,1,69,Ciudad Bolivar,CERTIFICADO,Vecinal,DESARROLLO SIERRA MORENA,,19,,"-74,17051904803452","4,5747476724568505"
892,10-732,2,73,Engativa,CERTIFICADO,Bolsillo,URBANIZACIÓN PROYECTO PROTECHO LOTE VILLA AMALIA,,10,,"-74,12439937021875","4,709364852033743"
895,19-173,1,67,Ciudad Bolivar,SIN CERTIFICAR,Vecinal,LA PLAYA II SECTOR,,19,,"-74,1355162810237","4,560186297803053"
900,01-395,3,9,Usaquén,CERTIFICADO,Vecinal,"URBANIZACIÓN BALMORAL NORTE, PREDIO PARAJES DE BALMORAL 
URBANIZACIÓN BALMORAL NORTE",,1,,"-74,0359119402116","4,763352119659562"
908,19-315,1,69,Ciudad Bolivar,CERTIFICADO,Bolsillo,DESARROLLO SIERRA MORENA,,19,,"-74,1624669100521","4,577437917939111"
912,19-323,1,70,Ciudad Bolivar,CERTIFICADO,Bolsillo,URBANIZACIÓN ARBORIZADORA ALTA,,19,,"-74,15504153652488","4,572327579525867"
918,16-367,3,40,Puente Aranda,CERTIFICADO,Vecinal,CONJUNTO RESIDENCIAL BOSQUE DE LOS COMUNEROS,,16,,"-74,10716936820984","4,612970259840125"
925,16-076,3,40,Puente Aranda,CERTIFICADO,Vecinal,SANTA MATILDE I SECTOR,,16,,"-74,10757638273782","4,600475300209967"
927,14-010,3,37,Martires,CERTIFICADO,Vecinal,URBANIZACIÓN SANTA ISABEL TERCER SECTOR,,14,,"-74,1001846933388","4,597193317975497"
931,14-044,3,37,Martires,INVESTIGADO NO CERTIFICADO,Bolsillo,URBANIZACIÓN SANTA ISABEL QUINTO SECTOR,,14,,"-74,10242296534513","4,595124156082628"
941,19-355,1,66,Ciudad Bolivar,CERTIFICADO,Bolsillo,JUAN JOSÉ RONDÓN,,19,,"-74,1544964078186","4,565683735108256"
956,11-812,3,18,Suba,CERTIFICADO,Vecinal,HUERTOS DE LA ESTANCIA,,11,,"-74,05139100939996","4,746514178037969"
957,11-813,3,18,Suba,CERTIFICADO,Vecinal,URBANIZACIÓN TRES AMIGOS,,11,,"-74,05229779714469","4,747130631752011"
962,16-156,3,41,Puente Aranda,CERTIFICADO,Bolsillo,MUZÚ,,16,,"-74,12914770625795","4,598216299835389"
964,16-162,3,41,Puente Aranda,CERTIFICADO,Bolsillo,MUZÚ I ETAPA,,16,,"-74,13211269736283","4,5970973888406395"
974,16-242,3,41,Puente Aranda,CERTIFICADO,Bolsillo,MUZÚ I ETAPA,,16,,"-74,13000986345358","4,596211626830886"
975,16-244,3,41,Puente Aranda,CERTIFICADO,Bolsillo,MUZÚ I ETAPA,,16,,"-74,13177226955698","4,595694380404579"
980,05-487,1,59,Usme,CERTIFICADO,Bolsillo,DESARROLLO EL PORTAL DEL DIVINO,,5,,"-74,09663632820359","4,486710280192481"
982,08-592,2,82,Kennedy,CERTIFICADO,Vecinal,DINTALITO 1A ETAPA,,8,,"-74,17025327921192","4,63294186323775"
987,05-015,1,56,Usme,CERTIFICADO,Vecinal,DANUBIO AZUL,,5,,"-74,1130122978295","4,538347853597909"
988,05-204,1,52,Usme,CERTIFICADO,Bolsillo,LA ESPERANZA - LA CABAÑA,,5,,"-74,0890593850826","4,513555202356816"
996,13-178,4,107,Teusaquillo,CERTIFICADO,Vecinal,URBANIZACIÓN PRADOS DEL SALITRE,,13,,"-74,09846132667019","4,63622898745404"
999,19-699,1,69,Ciudad Bolivar,CERTIFICADO,Vecinal,DESARROLLO SAN ISIDRO SECTOR CERRITO II,,19,,"-74,17853550268805","4,5917160460698305"
1003,12-163,4,98,Barrios Unidos,CERTIFICADO,Bolsillo,URBANIZACIÓN LOS ALCAZARES,,12,,"-74,07130118671216","4,664774842483812"
1009,08-654,2,80,Kennedy,CERTIFICADO,Bolsillo,DESARROLLO LA ESPERANZA,,8,,"-74,16594655137311","4,622495929273862"
1013,01-262,4,10,Usaquén,CERTIFICADO,Vecinal,URBANIZACIÓN EL REDILETAPA I Y II,,1,,"-74,02779683616683","4,753195855977143"
1015,12-158,3,98,Barrios Unidos,CERTIFICADO,Bolsillo,URBANIZACIÓN LOS ALCAZARES,,12,,"-74,06706222238853","4,664194437844461"
1017,12-160,3,98,Barrios Unidos,CERTIFICADO,Bolsillo,URBANIZACIÓN LOS ALCAZARES,,12,,"-74,06789266141894","4,664778440854324"
1023,02-105,6,88,Chapinero,CERTIFICADO,Bolsillo,URBANIZACIÓN EL CHICO ALTO,,2,,"-74,04289870950473","4,668762481136573"
1032,04-316,2,51,San Cristobal,INVESTIGADO NO CERTIFICADO,Vecinal,NUEVA ROMA ORIENTAL,,4,,"-74,09634079819563","4,539835978265192"
1034,04-318,2,51,San Cristobal,INVESTIGADO NO CERTIFICADO,Vecinal,NUEVA ROMA ORIENTAL,,4,,"-74,09526927919075","4,541185630428278"
1035,04-319,2,51,San Cristobal,INVESTIGADO NO CERTIFICADO,Vecinal,NUEVA ROMA ORIENTAL,,4,,"-74,09493761220469","4,543056586148209"
1037,11-644,4,25,Suba,INVESTIGADO NO CERTIFICADO,Vecinal,LA ALBORADA,,11,,"-74,07670105735224","4,690418598877228"
1051,11-940,6,24,Suba,CERTIFICADO,Vecinal,"URBANIZACIÓN EL CYPRES, CONJUNTO RESIDENCIAL VILLAVADUZ",,11,,"-74,07626950129985","4,719775037650411"
1052,11-945,2,28,Suba,CERTIFICADO,Vecinal,URBANIZACIÓN LA PALMA I,,11,,"-74,08666797008325","4,728430103821161"
1055,11-951,2,71,Suba,CERTIFICADO,Vecinal,NUEVO CORINTO,,11,,"-74,10401866254725","4,726194867441444"
1056,19-037,2,69,Ciudad Bolivar,CERTIFICADO,Vecinal,URBANIZACIÓN LA ESTANCIA,,19,,"-74,17376650854143","4,5914652879739215"
1064,09-038,3,112,Fontibon,CERTIFICADO,Vecinal,INDUSTRIAL FRANCO,,9,,"-74,11886558771931","4,651798426462181"
1075,02-111,3,99,Chapinero,CERTIFICADO,Vecinal,CHAPINERO CENTRAL(BOMBEROS),,2,,"-74,06246246365488","4,648210006320499"
1077,02-001,1,90,Chapinero,CERTIFICADO,Vecinal,DESARROLLO EL PARAÍSO,,2,,"-74,05757891364827","4,626663750317791"
1085,19-338,1,67,Ciudad Bolivar,CERTIFICADO,Vecinal,DESARROLLO LOS ALPES,,19,,"-74,153123772183","4,54268287243118"
1088,02-023,4,97,Chapinero,CERTIFICADO,Vecinal,LAS FLORES - CHAPINERO NORTE,,2,,"-74,06270503977348","4,655036492429116"
1119,10-488,3,29,Engativa,CERTIFICADO,Bolsillo,URBANIZACIÓN QUIRIGUA,,10,,"-74,09773326324282","4,712243059381971"
1124,10-503,3,29,Engativa,CERTIFICADO,Bolsillo,URBANIZACIÓN MEISSEN SIDAUTO,,10,,"-74,0946253879055","4,7131407142997785"
1125,09-300,2,75,Fontibon,CERTIFICADO,Bolsillo,TORRES DE CENTENARIO,,9,,"-74,15095373934975","4,669024598328139"
1141,07-152,2,49,Bosa,CERTIFICADO,Zonal Existente,PAVCO - AUTOPISTA SUR,FUNDACIàN PAVCO,7,PZ78,"-74,16409122308758","4,596561268292847"
1152,07-157,2,85,Bosa,CERTIFICADO,Bolsillo,DESARROLLO EL JARDÍN,,7,,"-74,2074576719062","4,613330798357243"
1159,16-327,3,108,Puente Aranda,CERTIFICADO,Vecinal,CARREFOUR CARRERA 30,,16,,"-74,0895973771231","4,618676666287881"
1167,16-405,3,43,Puente Aranda,CERTIFICADO,Bolsillo,NUEVA MARICUTANA,,16,,"-74,11369809552274","4,618176030028648"
1172,11-043,5,20,Suba,CERTIFICADO,Vecinal,PUENTE LARGO TERCERO Y CUARTO SECTOR,,11,,"-74,06547638644244","4,697251979716615"
1173,11-045,5,20,Suba,CERTIFICADO,Vecinal,"URBANIZACIÓN PASADENA, URBANIZACIÓN EL ESTORIL",,11,,"-74,05971794202779","4,69683374990519"
1178,11-062,4,19,Suba,CERTIFICADO,Vecinal,URBANIZACIÓN COLPATRIA SANTA HELENA,,11,,"-74,05394448406979","4,729895824577007"
1182,10-039,3,29,Engativa,CERTIFICADO,Vecinal,URBANIZACIÓN QUIRIGUA,,10,,"-74,10417249903963","4,710624194187381"
1184,10-161,3,73,Engativa,CERTIFICADO,Vecinal,URBANIZACIÓN PLAZUELAS DEL VIRREY SEGUNDA ETAPA,,10,,"-74,12302553398477","4,70515395856131"
1192,19-686,1,67,Ciudad Bolivar,CERTIFICADO,Vecinal,DESARROLLO BELLA FLOR,,19,,"-74,1605041091226","4,546285848129051"
1193,04-430,2,32,San Cristobal,CERTIFICADO,Vecinal,BELLAVISTA SECTOR EL LUCERO,,4,,"-74,08762064377271","4,55128778417124"
1195,11-087,3,24,Suba,SIN CERTIFICAR,Bolsillo,CIUDAD JARDÍN NORTE,,11,,"-74,0689240854686","4,722400873209716"
1197,11-094,5,19,Suba,CERTIFICADO,Vecinal,URBANIZACIÓN COLPATRIA SANTA HELENA I SECTOR,,11,,"-74,0625663654956","4,732223740442869"
1200,11-143,5,24,Suba,CERTIFICADO,Vecinal,URBANIZACIÓN NIZA NORTE PRIMER SECTOR,,11,,"-74,07586653053812","4,712473898095684"
1203,15-003,3,38,Antonio Nariño,CERTIFICADO,Vecinal,URBANIZACIÓN SAN JORGE CENTRAL I SECTOR,,15,,"-74,11548122890383","4,5944023696571055"
1216,11-063,3,27,Suba,CERTIFICADO,Vecinal,PARQUE CENTRAL DE SUBA,,11,,"-74,0838578314654","4,740990792374002"
1218,11-194,4,27,Suba,CERTIFICADO,Vecinal,LA CAMPIÑA I SECTOR,,11,,"-74,08797264143026","4,74326025952563"
1220,11-067,5,24,Suba,CERTIFICADO,Vecinal,URBANIZACIÓN NIZA NORTE SEGUNDO SECTOR,,11,,"-74,07824577830607","4,710770696434629"
1221,11-070,5,20,Suba,CERTIFICADO,Vecinal,URBANIZACIÓN MALIBÚ,,11,,"-74,05620000822114","4,701772052588864"
1222,11-119,5,20,Suba,CERTIFICADO,Vecinal,URBANIZACIÓN PUENTE LARGO TERCERO Y CUARTO SECTOR,,11,,"-74,06766258086594","4,697144776431588"
1224,11-029,2,28,Suba,CERTIFICADO,Vecinal,URBANIZACIÓN LAGO DE SUBA,,11,,"-74,09784345643462","4,7289821002588965"
1226,04-389,2,32,San Cristobal,CERTIFICADO,Vecinal,SAN JERÓNIMO DE YUSTE SECTOR A,,4,,"-74,07244078274425","4,567543619210667"
1228,04-057,2,34,San Cristobal,CERTIFICADO,Vecinal,URBANIZACIÓN ATENAS,,4,,"-74,09421002263863","4,556657832458567"
1240,07-163,2,85,Bosa,CERTIFICADO,Zonal Existente,CLARELANDIA,IDRD,7,PZ40,"-74,18058094952201","4,611496032142799"
1243,01-478,6,16,Usaquén,CERTIFICADO,Bolsillo,LA VILLE,,1,,"-74,03958298287529","4,690839343331116"
1244,01-479,6,16,Usaquén,CERTIFICADO,Bolsillo,NAVARRA,,1,,"-74,05087507144884","4,691682885285445"
1258,02-020,5,97,Chapinero,CERTIFICADO,Bolsillo,ANTIGUO COUNTRY CLUB,,2,,"-74,0595329470206","4,669869049365679"
1271,01-177,6,14,Usaquén,CERTIFICADO,Bolsillo,URBANIZACIÓN SANTA BÁRBARA ALA SEGUNDO SECTOR,NUEVA ASOCIACION DE RESIDENTES DE SANTA BARBARA,1,,"-74,02850888622595","4,689133169835164"
1272,01-331,1,11,Usaquén,CERTIFICADO,Bolsillo,DESARROLLO SANTA CECILIA PARTE ALTA,,1,,"-74,02034907527526","4,735576141705076"
1274,06-005,3,42,Tunjuelito,CERTIFICADO,Vecinal,URBANIZACIÓN LA LAGUNETA,,6,,"-74,14442126830792","4,591825039401106"
1281,03-118,2,96,Santa Fe,CERTIFICADO,Vecinal,DESARROLLO LOS LACHES,,3,,"-74,06723575713848","4,584237123269465"
1284,11-1040,4,25,Suba,CERTIFICADO,Bolsillo,LA ALBORADA,,11,,"-74,07719183349224","4,690695588487744"
1299,15-018,3,38,Antonio Nariño,INVESTIGADO NO CERTIFICADO,Bolsillo,RESTREPO,,15,,"-74,10683837001952","4,588172697040771"
1311,15-049,3,38,Antonio Nariño,INVESTIGADO NO CERTIFICADO,Bolsillo,LUNA PARK,,15,,"-74,09486536924038","4,5857344867403675"
1314,05-058,2,57,Usme,CERTIFICADO,Vecinal,URBANIZACIÓN MARICHUELA I ETAPA,,5,,"-74,1202137761536","4,512746006814483"
1318,05-415,1,56,Usme,CERTIFICADO,Vecinal,LA FISCALA II SECTOR - LA FORTUNA,,5,,"-74,10933553918565","4,537027905555766"
1321,08-290,3,48,Kennedy,CERTIFICADO,Vecinal,SANTA CATALINA,,8,,"-74,15726898652696","4,606195234060735"
1322,03-036,2,95,Santa Fe,CERTIFICADO,Zonal Existente,LAS CRUCES,IDRD,3,PZ47,"-74,07879362306862","4,585764498926009"
1329,08-721,3,113,Kennedy,CERTIFICADO,Vecinal,ÉXITO LUSITANIA,,8,,"-74,12484027279251","4,629709213575346"
1332,03-017,2,96,Santa Fe,CERTIFICADO,Vecinal,DESARROLLO LOS LACHES,,3,,"-74,06801690875335","4,5871294552913024"
1335,11-1076,4,17,Suba,CERTIFICADO,Vecinal,SAN PEDRO LOTE 2 ETAPA I,,11,,"-74,05016234316167","4,768728900261322"
1341,04-385,3,33,San Cristobal,CERTIFICADO,Vecinal,VELÓDROMO,,4,,"-74,08715337025546","4,576297136524419"
1343,11-1043,4,25,Suba,CERTIFICADO,Bolsillo,LA ALBORADA,,11,,"-74,07650367592474","4,689147434790156"
1346,18-056,3,36,Rafael Uribe,CERTIFICADO,Vecinal,URBANIZACIÓN FUCHA Y SOCIEGO SECTOR FUCHA,,18,,"-74,0979546063322","4,574415890234857"
1350,18-086,2,54,Rafael Uribe,CERTIFICADO,Bolsillo,DESARROLLO CALLEJÓN DE SANTA BÁRBARA II SECTOR,,18,,"-74,11546278604189","4,556979387215025"
1352,18-243,2,53,Rafael Uribe,CERTIFICADO,Vecinal,LAS LOMAS,,18,,"-74,11010830727314","4,566073391055333"
1355,18-254,2,55,Rafael Uribe,CERTIFICADO,Bolsillo,DESARROLLO PALERMO SUR,,18,,"-74,10967042528452","4,543861623686996"
1360,18-278,2,54,Rafael Uribe,CERTIFICADO,Bolsillo,URBANIZACIÓN LOS MOLINOS I SECTOR,,18,,"-74,10842455855436","4,556196952047259"
1370,18-212,3,39,Rafael Uribe,CERTIFICADO,Bolsillo,BARRIO SANTA LUCIA O SAMORE,,18,,"-74,1230699871166","4,587615022973262"
1371,06-004,2,42,Tunjuelito,CERTIFICADO,Vecinal,EL CLARET,,6,,"-74,13161594967195","4,582136625877467"
1375,10-130,3,72,Engativa,INVESTIGADO NO CERTIFICADO,Vecinal,URBANIZACIÓN EL CORTIJO PRIMERA ETAPA,,10,,"-74,12173399465976","4,727293595527835"
1399,12-016,3,22,Barrios Unidos,CERTIFICADO,Vecinal,URBANIZACIÓN LA PROVIDENCIA,,12,,"-74,07243352256012","4,67484915496684"
1400,12-009,3,98,Barrios Unidos,CERTIFICADO,Bolsillo,11 DE NOVIEMBRE,,12,,"-74,06901887479907","4,66791764155421"
1409,07-402,2,85,Bosa,INVESTIGADO NO CERTIFICADO,Vecinal,URBANIZACIÓN LA TINGUA,,7,,"-74,20284296161299","4,6032936278587036"
1415,09-294,2,75,Fontibon,INVESTIGADO NO CERTIFICADO,Vecinal,VILLEMAR CENTRAL,,9,,"-74,14521143900825","4,666633759633674"
1417,11-922,5,20,Suba,CERTIFICADO,Bolsillo,CENTRO COMERCIAL Y ESTACIÓN DE SERVICIO LA SERREZUELA,,11,,"-74,05621075431773","4,69595448459341"
1419,11-924,5,20,Suba,CERTIFICADO,Bolsillo,URBANIZACIÓN EL ESTORIL,,11,,"-74,05786368094081","4,694865827040128"
1421,11-933,6,24,Suba,CERTIFICADO,Vecinal,AGRUPACIÓN DE VIVIENDA PRADO CHESTNUT-HILL,,11,,"-74,08148737281418","4,71011813290392"
1428,18-050,2,54,Rafael Uribe,CERTIFICADO,Bolsillo,URBANIZACIÓN LOS MOLINOS I SECTOR,,18,,"-74,1090371875694","4,555893819715963"
1431,18-034,2,54,Rafael Uribe,CERTIFICADO,Vecinal,URBANIZACIÓN AVENIDA CARACAS,,18,,"-74,11961179666625","4,558604445436441"
1432,09-269,2,76,Fontibon,CERTIFICADO,Bolsillo,DESARROLLO VILLA LILIANA,,9,,"-74,15280083861813","4,693302837559328"
1453,18-042,3,39,Rafael Uribe,CERTIFICADO,Bolsillo,"URBANIZACIÓN QUIROGA ETAPAS IV, V Y VI",,18,,"-74,11184480237048","4,579386046903305"
1454,18-053,2,54,Rafael Uribe,CERTIFICADO,Vecinal,DESARROLLO LOS CHIRCALES,,18,,"-74,11233153070182","4,556892447545604"
1469,16-322,3,40,Puente Aranda,CERTIFICADO,Bolsillo,EL JAZMÍN II SECTOR,,16,,"-74,11925592726982","4,607738657435653"
1476,10-133,3,31,Engativa,CERTIFICADO,Bolsillo,URBANIZACIÓN LA RELIQUIA,,10,,"-74,10207027418815","4,67190819320478"
1477,12-055,4,98,Barrios Unidos,CERTIFICADO,Bolsillo,URBANIZACIÓN LA ESPERANZA,,12,,"-74,06500337179222","4,6529114306784045"
1479,12-042,4,21,Barrios Unidos,CERTIFICADO,Vecinal,URBANIZACIÓN LOS ANDES II Y III SECTOR,,12,,"-74,06895682277249","4,687796189078461"
1485,09-310,3,75,Fontibon,CERTIFICADO,Vecinal,SAN JUAN DE DIOS,,9,,"-74,15222248572107","4,676394872873044"
1487,11-1132,2,23,Suba,CERTIFICADO,Vecinal,CASABLANCA LOTE A,,11,,"-74,06874600703992","4,740454943908512"
1491,10-150,3,73,Engativa,CERTIFICADO,Vecinal,URBANIZACIÓN MOLINO DE VIENTO,,10,,"-74,1161008391761","4,7095813410647"
1496,10-500,3,73,Engativa,CERTIFICADO,Vecinal,URBANIZACIÓN BOSQUES DE GRANADA,,10,,"-74,12671132788373","4,716478810911557"
1512,04-062,1,32,San Cristobal,CERTIFICADO,Vecinal,DESARROLLO NUEVA ESPAÑA,,4,,"-74,08611951401718","4,550258243653348"
1515,01-338,3,9,Usaquén,CERTIFICADO,Vecinal,URBANIZACIÓN VILLAS DE ANDALUCÍA I ETAPA,,1,,"-74,03308201709791","4,759659804222704"
1516,01-343,5,15,Usaquén,CERTIFICADO,Vecinal,"CONJUNTO RESIDENCIAL CAMBULOS DEL COUNTRY, AGRUPACIÓN DE VIVIENDA CIGARRALES DE TOLEDO",,1,,"-74,03342735150187","4,710993202682798"
1518,03-122,2,96,Santa Fe,CERTIFICADO,Vecinal,DESARROLLO LOURDES,,3,,"-74,07349057509569","4,587271759172449"
1529,18-131,3,39,Rafael Uribe,CERTIFICADO,Bolsillo,URBANIZACIÓN QUIROGA VII ETAPA,,18,,"-74,11665959397777","4,578121637566994"
1532,11-1045,4,25,Suba,CERTIFICADO,Bolsillo,LA ALBORADA,,11,,"-74,07706323426943","4,689410920010179"
1549,04-386,3,33,San Cristobal,CERTIFICADO,Bolsillo,TORRE ARJONA,,4,,"-74,08630331112093","4,5806415886468175"
1562,18-299,2,55,Rafael Uribe,CERTIFICADO,Bolsillo,DESARROLLO DIANA TURBAY,,18,,"-74,10705032571417","4,54442464923534"
1566,17-004,3,94,Candelaria,CERTIFICADO,Vecinal,LAS AGUAS ( GERMANIA ),,17,,"-74,06561750818031","4,602972630434161"
1571,18-090,3,36,Rafael Uribe,CERTIFICADO,Escenario Deportivo,PIJAOS JORGE E. CABALIER,IDRD,18,,"-74,10303390867153","4,567486113743757"
1572,18-091,2,53,Rafael Uribe,CERTIFICADO,Vecinal,DESARROLLO SAN JUANITO,,18,,"-74,12004020996261","4,574187616376024"
1577,01-314,4,12,Usaquén,CERTIFICADO,Vecinal,CONJUNTO RESIDENCIAL ICATA,,1,,"-74,03827773570819","4,735000142234498"
1585,19-053,1,70,Ciudad Bolivar,CERTIFICADO,Vecinal,DESARROLLO ARBORIZADORA ALTA,,19,,"-74,155572156541","4,573545073624153"
1588,11-172,4,25,Suba,CERTIFICADO,Vecinal,LA ALBORADA,,11,,"-74,07696437062998","4,688511628414249"
1592,04-226,2,50,San Cristobal,CERTIFICADO,Bolsillo,URBANIZACIÓN ALTOS DE LA GLORIA,,4,,"-74,08806268271529","4,5460432601820555"
1602,19-618,3,65,Ciudad Bolivar,CERTIFICADO,Bolsillo,URBANIZACIÓN MANDALAY I Y II SECTOR,,19,,"-74,15584283959734","4,591624206187631"
1605,15-028,2,35,Antonio Nariño,CERTIFICADO,Vecinal,DESARROLLO POLICARPA SALAVARRIETA,,15,,"-74,0876829648447","4,585852624612029"
1610,15-054,3,38,Antonio Nariño,CERTIFICADO,Vecinal,CINCO DE NOVIEMBRE,,15,,"-74,12603444686799","4,592333561655215"
1613,10-318,3,73,Engativa,CERTIFICADO,Vecinal,TORRES DE GRANADA II,,10,,"-74,12239771445827","4,72007312273198"
1618,12-092,3,103,Barrios Unidos,CERTIFICADO,Metropolitano Existente,SIMÓN BOLÍVAR ( SECTOR PARQUE DE LOS NOVIOS ),IDRD,12,PM1,"-74,08087737361713","4,655568163219925"
1623,08-160,3,48,Kennedy,CERTIFICADO,Vecinal,EL PARQUE ETAPA I Y II,,8,,"-74,15391599867785","4,606549744404564"
1633,19-554,1,67,Ciudad Bolivar,CERTIFICADO,Bolsillo,DESARROLLO MARANDÚ,,19,,"-74,15033802507087","4,557124689192699"
1638,18-374,2,54,Rafael Uribe,CERTIFICADO,Bolsillo,URBANIZACIÓN LOS MOLINOS I SECTOR,,18,,"-74,11080139704072","4,556752429352294"
1641,17-003,3,94,Candelaria,INVESTIGADO NO CERTIFICADO,Vecinal,VOLLEY PLAYA (LAS AGUAS),,17,,"-74,06694709789497","4,5997437182144765"
1646,19-698,2,69,Ciudad Bolivar,CERTIFICADO,Bolsillo,URBANIZACIÓN GALICIA,,19,,"-74,17142079218807","4,590102829419799"
1661,16-136,3,41,Puente Aranda,CERTIFICADO,Bolsillo,MUZÚ,,16,,"-74,12863313644101","4,598839706700084"
1662,16-101,3,40,Puente Aranda,CERTIFICADO,Vecinal,TORREMOLINOS I SECTOR,,16,,"-74,12303140537347","4,609865021604378"
1676,13-145,4,107,Teusaquillo,CERTIFICADO,Vecinal,URBANIZACIÓN BOSQUES DEL SALITRE,,13,,"-74,09965055282507","4,635352842955378"
1677,04-376,2,33,San Cristobal,CERTIFICADO,Bolsillo,URBANIZACIÓN SAN BERNARDO DEL VIENTO,,4,,"-74,08295281519841","4,583357047641146"
1685,08-330,3,48,Kennedy,CERTIFICADO,Vecinal,ALAMEDA DE TIMIZA I,,8,,"-74,14935649524871","4,607392265897902"
1687,19-580,1,70,Ciudad Bolivar,CERTIFICADO,Bolsillo,URBANIZACIÓN ARBORIZADORA ALTA,,19,,"-74,16593735621787","4,564477509576699"
1689,08-427,3,44,Kennedy,CERTIFICADO,Vecinal,LAS AMÉRICAS,,8,,"-74,13722212156111","4,627758763408263"
1691,08-514,3,45,Kennedy,CERTIFICADO,Bolsillo,CARVAJAL,,8,,"-74,1418160933477","4,607579550735661"
1698,11-630,3,19,Suba,CERTIFICADO,Bolsillo,CONJUNTO RESIDENCIAL PORTAL DE LA SULTANA,,11,,"-74,05944255359597","4,719151123433345"
1708,04-297,2,50,San Cristobal,CERTIFICADO,Bolsillo,LAS GUACAMAYAS,,4,,"-74,09904910828448","4,555433574487812"
1718,19-568,3,69,Ciudad Bolivar,CERTIFICADO,Vecinal,URBANIZACIÓN BELMORAL III ETAPA,,19,,"-74,16353546955727","4,593043664928755"
1722,01-044,5,16,Usaquén,CERTIFICADO,Vecinal,NUEVA URBANIZACIÓN SANTA BÁRBARA,,1,,"-74,05336170158006","4,700311511063143"
1739,16-285,3,40,Puente Aranda,CERTIFICADO,Bolsillo,MONTES III SECTOR,,16,,"-74,11970468022085","4,6029034755367295"
1754,16-111,3,40,Puente Aranda,CERTIFICADO,Vecinal,EL REMANSO,,16,,"-74,11341855283187","4,59779659782548"
