"dgrid","Fecha","accidentes","Clas.Final","TemporadaTrafico","Eventos.Especiales","DiaMes","T_Med","T_Max","T_Min","Hum_Rel_Med","Prec_Tot","Vis_Med","Vel_Med_Viento","Vel_Max_S_Viento","Vel_Max_Raf_Viento","Ind_Lluvia","Ind_Nieve","Ind_Tormenta","Ind_Niebla","semaf_count_d","colegios_count_d","paraderos_count_d","parques_count_d","estaciones_count_d","viasprincipales_count_d","viassecudarias_count_d","viviendas_count_d","hogares_count_d","personas_count_d","comercial_count_d","lotes_count_d"
47,"2014-06-24",3,"Habil","Bajo Trafico","Partido Colombia",24,13.7,18,11,82,1.02,9.3,10.9,22.2,0,1,0,0,0,68,107,197,101,10,7,2936,42207,45497,154391,8801,19086
47,"2014-07-24",3,"Habil","Moderado Trafico","No",24,13.7,19,9.7,75,1.02,11.6,13.1,33.5,0,1,0,0,0,68,107,197,101,10,7,2936,42207,45497,154391,8801,19086
47,"2014-08-24",5,"DomingoFestivo","Normal Trafico","No",24,14.3,20,8.5,70,0.25,12.2,8,18.3,33.5,0,0,0,0,68,107,197,101,10,7,2936,42207,45497,154391,8801,19086
47,"2014-09-24",3,"Habil","Normal Trafico","No",24,12.9,20.6,5,72,0,11.6,8.1,18.3,0,0,0,0,1,68,107,197,101,10,7,2936,42207,45497,154391,8801,19086
47,"2014-10-24",3,"VisperaDescanso","Normal Trafico","No",24,13.1,20.4,7,80,0,10.8,7,18,0,1,1,1,0,68,107,197,101,10,7,2936,42207,45497,154391,8801,19086
47,"2014-11-24",1,"Habil","Normal Trafico","No",24,14.7,21.2,10.7,68,0,12.1,9.6,18.3,0,0,0,0,0,68,107,197,101,10,7,2936,42207,45497,154391,8801,19086
47,"2014-01-25",2,"Sabado","Moderado Trafico","No",25,14.5,20.7,8.7,75,1.02,9.7,8.9,25.2,0,1,0,0,0,68,107,197,101,10,7,2936,42207,45497,154391,8801,19086
47,"2014-03-25",2,"Habil","Normal Trafico","No",25,14.5,19,11,77,4.06,11.6,9.4,14.8,0,1,0,0,0,68,107,197,101,10,7,2936,42207,45497,154391,8801,19086
47,"2014-04-25",6,"VisperaDescanso","Normal Trafico","No",25,14.1,19,10,74,2.03,12.4,10.2,22.2,0,0,0,0,0,68,107,197,101,10,7,2936,42207,45497,154391,8801,19086
47,"2014-05-25",1,"DomingoFestivo","Normal Trafico","No",25,12.9,21,4.6,69,0,11.1,10.4,22.2,0,0,0,0,0,68,107,197,101,10,7,2936,42207,45497,154391,8801,19086
