VIVIENDAS,HOGAR,PERSONA,Comercial,Lotes,Longitud,Latitud
12,15,57,0,17,-74.20039435,4.625842283
70,71,270,13,24,-74.20039252,4.60839662
21,29,113,0,23,-74.20036255,4.624868554
42,88,349,13,39,-74.200355,4.607271749
73,73,305,5,32,-74.20034954,4.611617548
24,36,130,0,37,-74.20033887,4.624048638
49,49,188,11,24,-74.20031223,4.608793208
10,18,60,0,8,-74.20028856,4.62631209
23,45,162,7,21,-74.20027299,4.604627702
236,239,903,16,1,-74.20026835,4.635165272
38,55,222,6,40,-74.2002651,4.60552309
13,18,102,0,22,-74.20025509,4.620239149
43,43,152,0,13,-74.20021735,4.609269917
11,15,71,0,8,-74.20020535,4.603055355
10,11,48,0,50,-74.2001792,4.621794104
6,6,31,0,5,-74.20016374,4.622909444
19,21,92,0,31,-74.20015145,4.621379788
18,18,64,0,17,-74.20014417,4.625943812
27,28,117,0,33,-74.20012047,4.623502555
63,62,227,5,29,-74.20011251,4.609772127
17,35,137,5,17,-74.2000605,4.604017672
30,41,159,0,26,-74.20006031,4.606254897
22,25,100,0,32,-74.20005595,4.619497254
10,12,49,0,8,-74.20003647,4.626412611
28,24,106,0,41,-74.20003046,4.615091767
44,52,215,8,41,-74.20002626,4.60161134
33,39,141,0,30,-74.20001676,4.623243314
6,12,47,0,8,-74.20001665,4.604685723
11,11,39,0,10,-74.2000141,4.617652056
7,15,61,0,9,-74.19998644,4.623889519
22,27,106,0,21,-74.19998231,4.603715528
19,20,80,0,34,-74.19996013,4.619069355
18,27,116,8,13,-74.19992225,4.602964039
37,46,170,0,30,-74.19991542,4.60226351
17,28,102,0,21,-74.19991338,4.625589576
55,55,203,12,29,-74.19990834,4.610787653
13,13,49,0,12,-74.19989367,4.622951229
16,22,76,0,16,-74.19989111,4.626048655
34,41,171,0,30,-74.19989003,4.625150675
10,11,24,0,7,-74.19988719,4.630213515
54,106,535,0,3,-74.19988666,4.64466134
93,93,332,12,32,-74.19988406,4.608004909
25,30,129,0,23,-74.19986023,4.606481221
3,3,12,0,22,-74.19985904,4.644792976
18,21,89,0,13,-74.19985097,4.618274372
20,28,113,0,21,-74.19983471,4.622101493
17,24,105,0,17,-74.19983411,4.622697104
78,79,298,10,30,-74.19982572,4.611208269
83,84,324,0,43,-74.19980874,4.612181795
32,33,132,6,27,-74.199794,4.622442511
26,35,150,0,29,-74.19979107,4.624897834
236,239,916,23,1,-74.19978915,4.634274697
9,10,34,0,3,-74.19978625,4.621008909
23,31,132,0,24,-74.19977814,4.601428331
56,57,250,9,11,-74.19977415,4.636979396
3,4,17,0,14,-74.19975937,4.621349624
66,303,1497,0,10,-74.19975484,4.626528564
11,12,48,0,16,-74.19974684,4.618053644
19,20,83,14,22,-74.19974256,4.628157601
41,109,349,10,37,-74.19973538,4.604816004
58,112,559,0,14,-74.19969991,4.620361371
82,82,265,15,31,-74.19969204,4.608961814
12,16,79,0,12,-74.19968565,4.618869444
24,37,150,0,37,-74.19968451,4.620631013
20,25,115,0,21,-74.19966472,4.600741925
11,16,66,0,11,-74.19966455,4.600091007
10,15,57,0,4,-74.19965732,4.600356599
28,40,182,0,27,-74.19963523,4.602255224
19,19,82,0,17,-74.19963237,4.626153967
19,26,114,0,24,-74.1996306,4.627892656
14,16,70,11,17,-74.19963004,4.606745171
11,15,66,0,19,-74.19962752,4.617810745
34,54,218,6,32,-74.1996154,4.605203567
40,45,174,7,43,-74.19961289,4.618719414
18,18,72,0,17,-74.19961061,4.622968458
131,130,483,11,60,-74.19956006,4.61252807
72,72,283,0,66,-74.1995491,4.637126457
9,11,45,0,11,-74.1995478,4.619307212
32,46,198,6,42,-74.19954317,4.624673953
50,50,172,6,16,-74.19951915,4.609739154
14,22,89,5,23,-74.19951778,4.627625968
21,38,157,0,24,-74.19950439,4.601475242
120,120,462,7,64,-74.19950109,4.612853722
7,8,26,6,8,-74.199487,4.62576391
33,49,187,0,32,-74.1994851,4.605473781
88,88,262,14,31,-74.19947114,4.607904317
67,68,251,0,56,-74.19946895,4.613160276
29,32,114,7,17,-74.19946875,4.603888632
26,38,152,0,16,-74.19945259,4.603594743
19,36,149,0,16,-74.19944835,4.603054373
30,38,140,6,42,-74.19944787,4.624408398
11,14,42,0,9,-74.19944444,4.621259718
20,26,85,6,17,-74.199425,4.602774019
15,20,81,0,26,-74.19939943,4.627347007
68,72,244,5,28,-74.1993791,4.610432899
31,48,181,0,24,-74.19937842,4.600732414
11,23,80,0,10,-74.19936735,4.603323553
41,65,246,0,31,-74.19935826,4.60575964
36,52,181,10,47,-74.19935486,4.624146095
58,57,226,6,57,-74.19935053,4.613734857
30,33,130,12,24,-74.19935003,4.625290123
9,12,54,0,17,-74.19934963,4.600100291
41,51,200,0,21,-74.19934909,4.602247276
41,40,177,0,38,-74.19933936,4.615229834
14,16,68,0,10,-74.19931421,4.621587635
