"mgrid","Latitud.Inferior","Latitud.Superior","Longitud.Inferior","Longitud.Superior","semaf_count_m","colegios_count_m","paraderos_count_m","parques_count_m","estaciones_count_m","viasprincipales_count_m","viassecundarias_count_m","viviendas_count_m","hogares_count_m","personas_count_m","comercial_count_m","lotes_count_m"
142,4.6024,4.61474,-74.16345,-74.15009,4,15,46,36,0,NA,912,12669,13451,46394,1159,5400
143,4.6024,4.61474,-74.15009,-74.13672,5,13,52,38,0,2,790,14894,15904,56330,2286,6478
144,4.6024,4.61474,-74.13672,-74.12336,8,18,69,30,0,1,782,12999,14740,50954,2289,6303
145,4.6024,4.61474,-74.12336,-74.11,7,25,41,59,0,1,765,11156,12454,43527,1140,6407
146,4.6024,4.61474,-74.11,-74.09664,14,11,27,35,1,4,625,10104,10336,33760,1487,3889
147,4.6024,4.61474,-74.09664,-74.08327,30,9,38,6,3,2,476,4223,5096,18154,5236,3647
148,4.6024,4.61474,-74.08327,-74.06991,46,9,53,5,7,8,493,4451,4475,12422,2331,1628
149,4.59006,4.6024,-74.19017,-74.17681,5,9,34,19,2,3,773,10761,12434,44582,1194,5682
150,4.59006,4.6024,-74.17681,-74.16345,1,13,49,30,3,1,644,7977,9545,33016,949,4194
151,4.59006,4.6024,-74.16345,-74.15009,5,10,36,25,1,3,653,9201,9732,36411,951,4873
152,4.59006,4.6024,-74.15009,-74.13672,8,16,51,20,2,4,605,8118,11177,39729,2325,4914
153,4.59006,4.6024,-74.13672,-74.12336,9,21,53,88,3,2,1026,8192,10568,37810,1509,5635
154,4.59006,4.6024,-74.12336,-74.11,7,18,30,32,2,1,732,10790,11320,42833,1625,5450
155,4.59006,4.6024,-74.11,-74.09664,21,21,59,32,1,6,830,12158,12860,49995,2040,6061
156,4.59006,4.6024,-74.09664,-74.08327,22,18,45,16,4,5,751,10871,12404,42668,3444,5266
157,4.59006,4.6024,-74.08327,-74.06991,25,17,34,7,3,4,498,2629,2719,6507,1713,1010
158,4.57772,4.59006,-74.19017,-74.17681,NA,1,20,13,0,NA,509,3501,4219,18450,96,3542
159,4.57772,4.59006,-74.17681,-74.16345,NA,11,50,36,0,NA,1514,12866,14243,55242,847,8030
160,4.57772,4.59006,-74.16345,-74.15009,5,4,44,33,0,2,708,10406,11265,41820,697,4016
161,4.57772,4.59006,-74.15009,-74.13672,7,15,48,15,0,2,594,13430,15994,54240,1691,5559
162,4.57772,4.59006,-74.13672,-74.12336,18,26,49,13,0,2,586,14673,16827,56631,2578,5970
163,4.57772,4.59006,-74.12336,-74.11,10,25,35,45,0,3,1012,11636,12677,44746,1729,6678
164,4.57772,4.59006,-74.11,-74.09664,31,32,62,15,3,4,849,10829,11543,38698,4846,6429
165,4.57772,4.59006,-74.09664,-74.08327,15,27,35,26,3,6,694,11180,12596,43800,1769,5033
166,4.57772,4.59006,-74.08327,-74.06991,5,9,63,46,0,2,1039,7800,7956,24830,677,3051
167,4.56538,4.57772,-74.19017,-74.17681,NA,NA,NA,NA,0,NA,22,55,54,260,0,69
168,4.56538,4.57772,-74.17681,-74.16345,NA,12,41,28,0,NA,1356,10371,11466,47224,674,8524
169,4.56538,4.57772,-74.16345,-74.15009,1,17,52,58,0,1,1848,15982,18421,71350,1109,10359
170,4.56538,4.57772,-74.15009,-74.13672,7,18,35,34,1,3,698,9811,10707,39596,705,4338
171,4.56538,4.57772,-74.13672,-74.12336,13,21,54,19,3,3,421,11633,13704,46508,1750,4014
172,4.56538,4.57772,-74.12336,-74.11,5,20,37,29,2,2,1191,18359,20108,71963,1523,8346
173,4.56538,4.57772,-74.11,-74.09664,8,23,35,31,1,3,769,13534,14101,49202,1454,5723
174,4.56538,4.57772,-74.09664,-74.08327,12,31,59,23,1,3,837,12288,13893,48198,2040,5231
175,4.55304,4.56538,-74.16345,-74.15009,NA,3,14,16,0,NA,650,3895,4588,17926,111,2836
176,4.55304,4.56538,-74.15009,-74.13672,1,19,73,46,0,2,1575,15609,21923,81650,2045,10034
