FID,Código Único Paradero SITP,Nombre Paradero,Dirección Paradero,coord_x,coord_y
1117,068C06,Centro Industrial,AK 68 - CL 19,"-74,11181671789059","4,64356197905056"
1126,130C06,Imprenta Nacional de Colombia,AK 68 - AV. la Esperanza,"-74,1065515051608","4,6491316856904925"
1132,116A05,Br. Salitre Greco,AK 68 - CL 46,"-74,10082343458252","4,656562190988819"
1135,116D05,Br. Salitre Greco,AK 68 - CL 44,"-74,10150517233984","4,655646628615284"
1141,437C05,Pq. Metropolitano Simón Bolívar,AK 68 - CL 53,"-74,09550856837372","4,663427482115742"
1155,015A04,Pq. Metrópolis,AK 68 - CL 74A,"-74,08488162073344","4,678877224701357"
1173,062B01,IED Friedrich Naumann,AK 7 - CL 182,"-74,02590462440321","4,758649685909654"
1197,238A01,C.C. Show Place,AK 7 - AC 147,"-74,02622211956734","4,723198008447837"
1202,264B01,C.C. Palatino,AK 7 - CL 140,"-74,02895120948533","4,716753218454435"
1210,251A01,Br. Bella Suiza,AK 7 - CL 127A,"-74,0288543773859","4,703585602333072"
1217,123B01,Instituto Carlos Ardila Lülle,AK 7 - CL 120,"-74,03141955440896","4,697087493721404"
1223,167B01,Br. Santa Ana Occidental,AK 7 - CL 110,"-74,03497594688955","4,6890613056689405"
1236,365A00,Embajada de Italia,AK 7 - CL 77,"-74,05181636977183","4,660007600029649"
1246,821A00,Br. Marly,AK 7 - CL 46,"-74,06397763452746","4,633324861648105"
1253,656A00,Planetario de Bogotá,AK 7 - CL 27,"-74,06963448487338","4,6121437178934865"
1265,825A00,Br. La Salle,AK 7 - CL 60A,"-74,06077273395293","4,645958523250544"
1268,827A00,Br. Emaus,AK 7 - CL 70,"-74,05620544213029","4,653027886804188"
1270,368A00,Br. Bellavista,AK 7 - CL 74,"-74,05384160361356","4,657249913574688"
1288,171A01,Alcaldía de Usaquén,AK 7 - CL 119,"-74,03166732593398","4,6961431144892885"
1289,171B01,Alcaldía de Usaquén,AK 7 - CL 118,"-74,03212120242624","4,695445316775559"
1296,250A01,Br. Ginebra II,AK 7 - CL 127C,"-74,02837210784247","4,705929692296725"
1298,248A01,Br. Ginebra,AK 7 - CL 130,"-74,02849588490884","4,709548948521744"
1309,239B01,Colegio Pureza de María,AK 7 - CL 146,"-74,02605152769826","4,721625749923032"
1313,660B01,Br. Cedro Salazar,AK 7 - CL 152,"-74,02468198586048","4,726519993938629"
1325,043B01,Colegio María Inmaculada,AK 7 - CL 167A,"-74,02214844840006","4,744005775993051"
1333,061B01,Codabas,AK 7 - CL 180,"-74,02470967283585","4,756730856973694"
1337,067A01,Br. Buenavista,AK 7 - CL 188C,"-74,0275496256397","4,765169020451263"
1346,010A01,Pq. Cedritos,AK 9 - CL 146,"-74,03249399967588","4,723572999823146"
1347,206A01,Urb. Las Acacias,AK 9 - CL 145,"-74,03254219878245","4,722031278784902"
1357,197A01,Br. Santa Bárbara Central,AK 9 - CL 120,"-74,0331775520301","4,698206805548537"
1359,056A01,Br. Molinos Norte,AK 9 - CL 113,"-74,03620287219279","4,691952173372232"
1362,015A01,Br. Rincón del Chicó,AK 9 - CL 104A,"-74,04308972636844","4,688092121761642"
1372,195A01,Br. Santa Ana Occidental,AK 9 - CL 115,"-74,03580261703817","4,691838369363003"
1379,202A01,Avenida Calle 134,AK 9 - AC 134,"-74,03251080715486","4,711698896747073"
1382,053A01,Calle 140,AK 9 - Cl141,"-74,0323293268062","4,71841482621192"
1385,207A01,IED Usaquén,AK 9 - CL 146,"-74,03217091160079","4,724436053707132"
1391,126A01,Br. San Cristobal Norte,AK 9 - CL 165A,"-74,03165026962168","4,744002225479916"
1392,129A01,Br. Pradera Norte,AK 9 - CL 168,"-74,03157086933035","4,747351792570092"
1409,291A10,Portal del Sur,Auto Sur - KR 74,"-74,17199640207942","4,59600030079704"
1420,324A10,Avenida 1 de Mayo,Auto Sur - AV. 1 de Mayo,"-74,11387730403203","4,595740460449056"
1428,099A13,Hsp. San Cristóbal,AV. 1 de Mayo - KR 9A,"-74,09406345666098","4,575452191239419"
1436,078A12,Estación Restrepo,AV. 1 de Mayo - AV. Caracas,"-74,10193429216118","4,581031354259272"
1478,638A08,Urb. Ciudad Kennedy,AV. 1 de Mayo - CL 41 G Sur,"-74,15929892035427","4,616079045029723"
1483,169B08,Colegio Giraldilla,AV. 1 de Mayo - CL 45 Sur,"-74,1650911468135","4,614506152449764"
1487,168B08,Br. Casablanca,AV. 1 de Mayo - CL 50 Sur,"-74,17167760435812","4,613558485477057"
1490,027A09,Br. Roma,AV. 1 de Mayo - KR 79D,"-74,17387872294262","4,613640308442637"
1502,106A09,Br. Timiza,AV. 1 de Mayo - CL 40K Sur,"-74,15585385429021","4,61642142944833"
1506,105A09,Br. Timiza,AV. 1 de Mayo - CL 38B Sur,"-74,14974379490032","4,617480125748909"
1509,104B09,Br. Provivienda Occidental,AV. 1 de Mayo - CL 35 Sur,"-74,14372721599553","4,619042953733642"
1520,061B09,Br. Alcalá,AV. 1 de Mayo - KR 51F,"-74,12516186786759","4,6051410232348635"
1525,093A09,Br. San Jorge Central,AV. 1 de Mayo - KR 35A,"-74,11456026888803","4,597206763723612"
1548,100B13,Hsp. San Cristóbal,AV. 1 de Mayo - KR 8A,"-74,09395230451763","4,574980131815079"
1553,097A13,Hsp San Blas,TV 2B Este - CL 17 Sur,"-74,0834282544016","4,570310221345469"
1565,610A09,Br. Class,AV. A. Mejía  - CL 57 Sur,"-74,17595706787888","4,613553276908322"
1572,511B09,Br. Bosa,AV. A. Mejía - CL 60 Sur,"-74,1823290274966","4,607679081244073"
1577,100A09,Br. Roma,AV. A. Mejía - CL 57B Sur,"-74,17732896689596","4,611936516342574"
1594,033B06,Br. Ortezal,AV. Américas - KR 43A,"-74,09833700028403","4,626892999852561"
1603,046A07,Br. Ciudad Techo II,AV. Américas - KR 82A,"-74,15453623148261","4,637711382766538"
1605,051A08,Estación Tv  86,AV. Américas - KR 80C,"-74,15275973395653","4,63432048282254"
1610,063A07,Estación Pradera,AV. Américas - KR 65,"-74,11913547307168","4,628154787256584"
1616,350A07,Br. La Florida Occidental,AV. Américas - KR 31,"-74,08544244794847","4,624925856117205"
1623,111A02,Br. Casablanca,AV. Boyacá - CL 152B,"-74,0657106706618","4,740507547543346"
1625,004A02,Escuela de Carabineros,AV. Boyacá - AC 147,"-74,06715030624454","4,734139040868662"
1628,005A02,Br. Ciudad Jardín Norte,AV. Boyacá - AV. Suba,"-74,07324588030049","4,723893035227978"
1656,129A05,Br. Normandía,AV. Boyacá - AC 53,"-74,1065733171542","4,671841292360059"
1661,008B05,Avenida Calle 26,AV. Boyacá - AC 26,"-74,11178903091522","4,666618112580867"
1664,007C06,Avenida Esperanza,AV. Boyacá - AV. Esperanza,"-74,11582764982012","4,661936491780797"
1668,196A06,C.C Montevideo Plaza,AV. Boyacá - AC 22,"-74,12144055727727","4,655468366833155"
1691,102C07,Avenida Américas,AV. Boyacá - CL 6D,"-74,13773069197943","4,633280102513494"
1697,157C08,Pq. Mundo Aventura,AV. Boyacá - CL 2A,"-74,13860897662934","4,624367134156133"
1702,016A09,IED Alfonso López Pumarejo,AV. Boyacá - CL 39 Sur,"-74,14207310404542","4,6069246908295876"
1704,017A09,Br. El Progreso I Sector,AV. Boyacá - CL 40 Sur,"-74,14360746517825","4,602778793046142"
1707,028B09,CAI Las Delicias,AV. Boyacá - CL 44 Sur,"-74,1447630202305","4,5997126040878396"
1721,418A11,Portal Tunal,AV. Boyacá - AK 24,"-74,13956002212232","4,5720480936606815"
1734,020A12,Br. La Aurora,Autopista al Llano - DG 69F Sur,"-74,12297581672537","4,520579399449372"
1747,006B11,Br. México,AV. Boyacá - CL 64 Sur,"-74,13729446917915","4,554715853418103"
1756,116A11,IED Ciudad de Bogotá Sede B,AV. Boyacá - KR 27,"-74,14082152627581","4,5773540026386454"
1763,087B10,Br. Venecia Occidental,AV. Boyacá - DG 52A Sur,"-74,1443427586962","4,587368764706965"
1773,111B09,IED OEA Sede B,AV. Boyacá - CL 38 Sur,"-74,1410989996974","4,609115238323851"
1777,014B09,Br. Hipotecho Occidental,AV. Boyacá - CL 3A Sur,"-74,1389000074252","4,620026855449369"
1785,103A07,Avenida Américas,AV. Boyacá - CL 7A,"-74,13729153258649","4,633341985783632"
1798,331B07,Br. Villa Alsacia,AV. Boyacá - CL 12B,"-74,12985222259596","4,646270580684241"
1808,134B06,Br. Esperanza Sur,AV. Boyacá - CL 23,"-74,1173035342212","4,659589607738921"
1816,027B05,Avenida Calle 63,AV. Boyacá - AC 63,"-74,10290900017706","4,675921999779949"
1828,062B04,Avenida Calle 80,AV. Boyacá - CL 78,"-74,09067876367223","4,6939685815889165"
1832,084B03,Pq. Central Pontevedra,AV. Boyacá - CL 97,"-74,08227045715438","4,697638602453148"
1833,201A03,Avenida Pepe Sierra,AV. Boyacá - CL 116A,"-74,0809292194346","4,702337775572757"
1842,106A02,Br. Ciudad Jardín Norte,AV. Boyacá - CL 131,"-74,07315177279133","4,723382839406099"
1843,021A02,Br. Iberia,AV. Boyacá - CL 132 BIS,"-74,07184484712212","4,724971073486408"
1857,579A03,C.C. Plaza Imperial,Av. C. de Cali - AV. Suba,"-74,09556174953684","4,7480902129609674"
1862,202A03,Br. Aures II,AV. C. Cali - CL 129D,"-74,10073946635796","4,731398875742347"
1864,080A03,Br. San Cayetano,AV. C. Cali - KR 99A,"-74,0990225846274","4,724611787569133"
1868,010A04,Br. Los Cerezos,AV. C. Cali - CL 90A,"-74,09414651938373","4,7106048123506765"
1880,030A05,Jugos California,AV. C. Cali - AC 63,"-74,11416331594039","4,684582005813085"
1888,342A07,Río Fucha,AV. C. de Cali - CL 15A,"-74,13857917232485","4,657048252239421"
1889,342B07,Río Fucha,AV. C. de Cali - CL 15A,"-74,13826857981537","4,6572286015757305"
1891,129B07,Uniagustiniana,AV. C. de Cali - AC 12,"-74,14209435818505","4,6541031012543845"
1896,125A07,"Humedal ""El Burro""",AV. C. de Cali - CL 8A,"-74,14931703944482","4,647131121816332"
